,Total,Region,,,,,Gender,,Age,,,Social Grade,
,,London,Rest of South,Midlands Wales,North,Scotland,Male,Female,18-34,35-54,55+,ABC1,C2DE
BASE: All Respondents,2008,255,648,431,495,179,973,1035,566,724,718,1025,983
BASE:  UNWEIGHTED,2008,283,607,440,508,170,941,1067,550,686,772,996,1012
Improve our economy,447,56,135,98,119,39,228,219,160,168,120,214,234
,22%,22%,21%,23%,24%,22%,23%,21%,28%,23%,17%,21%,24%
Improve our transport system,296,58,112,45,58,24,190,106,97,101,98,158,138
,15%,23%,17%,10%,12%,13%,20%,10%,17%,14%,14%,15%,14%
Improve our international reputation,487,59,159,104,121,44,252,235,140,184,163,250,237
,24%,23%,25%,24%,24%,25%,26%,23%,25%,25%,23%,24%,24%
Improve our sports teams,480,57,172,87,118,45,264,216,137,152,191,253,227
,24%,22%,27%,20%,24%,25%,27%,21%,24%,21%,27%,25%,23%
Regenerate the area around the Olympic village,832,107,290,152,207,76,440,392,189,310,333,469,363
,41%,42%,45%,35%,42%,43%,45%,38%,33%,43%,46%,46%,37%
Leave behind world class sporting facilities,681,75,231,142,174,60,366,314,159,230,292,374,307
,34%,29%,36%,33%,35%,33%,38%,30%,28%,32%,41%,36%,31%
Improve our country’s ‘green’ credentials/reduce our environmental footprint,96,19,25,18,21,11,57,38,31,40,26,46,49
,5%,8%,4%,4%,4%,6%,6%,4%,5%,5%,4%,5%,5%
Boost the country’s tourism industry,900,101,310,183,240,66,432,468,242,318,341,447,453
,45%,40%,48%,43%,48%,37%,44%,45%,43%,44%,47%,44%,46%
None of these,536,66,166,123,126,54,246,290,131,199,206,254,282
,27%,26%,26%,29%,26%,30%,25%,28%,23%,28%,29%,25%,29%
