,Total,Region,,,,,Gender,,Age,,,Social Grade,
,,London,Rest of South,Midlands Wales,North,Scotland,Male,Female,18-34,35-54,55+,ABC1,C2DE
BASE: All Respondents,2008,255,648,431,495,179,973,1035,566,724,718,1025,983
BASE:  UNWEIGHTED,2008,283,607,440,508,170,941,1067,550,686,772,996,1012
Depression,87,10,30,20,18,8,51,36,21,33,33,44,42
,4%,4%,5%,5%,4%,4%,5%,3%,4%,5%,5%,4%,4%
Excitement,669,101,248,134,140,46,345,325,215,245,210,358,312
,33%,40%,38%,31%,28%,26%,35%,31%,38%,34%,29%,35%,32%
Triumph,254,30,87,52,69,17,157,97,66,103,86,133,122
,13%,12%,13%,12%,14%,9%,16%,9%,12%,14%,12%,13%,12%
Fear,101,9,38,23,27,5,53,49,42,25,34,52,49
,5%,4%,6%,5%,5%,3%,5%,5%,7%,3%,5%,5%,5%
Anxiety,141,22,53,31,27,8,68,73,46,48,47,65,75
,7%,9%,8%,7%,5%,4%,7%,7%,8%,7%,7%,6%,8%
Boredom,326,40,97,79,77,32,169,157,74,120,133,184,143
,16%,16%,15%,18%,16%,18%,17%,15%,13%,17%,18%,18%,15%
Inspiration,414,64,131,83,101,35,209,205,125,153,135,219,195
,21%,25%,20%,19%,20%,20%,21%,20%,22%,21%,19%,21%,20%
Annoyance,310,54,91,68,64,33,152,159,93,111,107,178,132
,15%,21%,14%,16%,13%,19%,16%,15%,16%,15%,15%,17%,13%
Pride,669,77,244,140,162,47,327,343,196,249,224,366,303
,33%,30%,38%,32%,33%,26%,34%,33%,35%,34%,31%,36%,31%
Pity,46,4,9,17,9,7,29,17,14,17,15,29,18
,2%,2%,1%,4%,2%,4%,3%,2%,3%,2%,2%,3%,2%
Awe,127,13,45,22,33,15,73,55,36,50,41,63,64
,6%,5%,7%,5%,7%,8%,7%,5%,6%,7%,6%,6%,7%
Patriotism,647,62,234,134,180,37,311,336,172,241,234,353,294
,32%,24%,36%,31%,36%,21%,32%,32%,30%,33%,33%,34%,30%
Anger,139,23,47,26,27,15,78,61,40,46,53,74,65
,7%,9%,7%,6%,5%,8%,8%,6%,7%,6%,7%,7%,7%
Joy,344,53,121,60,87,23,188,156,121,127,97,167,177
,17%,21%,19%,14%,18%,13%,19%,15%,21%,17%,13%,16%,18%
None of the above / Nothing,526,56,151,105,148,65,213,313,109,185,232,229,297
,26%,22%,23%,24%,30%,36%,22%,30%,19%,26%,32%,22%,30%
