,Total,Region,,,,,Gender,,Age,,,Social Grade,
,,London,Rest of South,Midlands Wales,North,Scotland,Male,Female,18-34,35-54,55+,ABC1,C2DE
BASE: All Respondents,2008,255,648,431,495,179,973,1035,566,724,718,1025,983
BASE:  UNWEIGHTED,2008,283,607,440,508,170,941,1067,550,686,772,996,1012
It will put my country on the sporting map,500,56,162,102,136,44,237,263,119,183,198,239,262
,25%,22%,25%,24%,27%,25%,24%,25%,21%,25%,28%,23%,27%
It will attract tourism,1165,130,388,252,304,91,529,635,318,425,422,597,568
,58%,51%,60%,59%,61%,51%,54%,61%,56%,59%,59%,58%,58%
It will contribute to urban regeneration,534,65,191,102,126,49,279,254,136,209,189,293,241
,27%,25%,30%,24%,26%,27%,29%,25%,24%,29%,26%,29%,25%
Improved sporting facilities,797,87,282,169,202,57,406,391,209,278,309,414,383
,40%,34%,43%,39%,41%,32%,42%,38%,37%,38%,43%,40%,39%
Improved funding for sports,570,59,193,112,156,50,292,278,178,186,205,280,290
,28%,23%,30%,26%,31%,28%,30%,27%,32%,26%,29%,27%,29%
It will provide an all-round economic boost for the country,662,72,238,139,159,53,316,346,197,236,229,324,337
,33%,28%,37%,32%,32%,30%,32%,33%,35%,33%,32%,32%,34%
It provides role models for the country’s youth,625,69,212,132,159,53,285,340,180,209,236,328,297
,31%,27%,33%,31%,32%,30%,29%,33%,32%,29%,33%,32%,30%
It will leave technologies for wider society to inherit,242,27,83,46,64,22,117,125,65,82,95,121,121
,12%,11%,13%,11%,13%,12%,12%,12%,12%,11%,13%,12%,12%
It provides employment within the country,796,97,270,166,205,58,343,453,220,282,294,397,399
,40%,38%,42%,39%,41%,33%,35%,44%,39%,39%,41%,39%,41%
It will engage the local community,515,62,171,111,123,48,237,278,156,182,177,256,259
,26%,24%,26%,26%,25%,27%,24%,27%,28%,25%,25%,25%,26%
It provides a once in a lifetime opportunity to see the games live,543,75,198,103,132,35,255,287,159,193,190,268,275
,27%,29%,30%,24%,27%,20%,26%,28%,28%,27%,27%,26%,28%
It brings culture to the host city,480,57,149,91,136,46,219,261,149,170,161,242,238
,24%,22%,23%,21%,27%,26%,22%,25%,26%,24%,22%,24%,24%
It focuses the world’s attention on my country,716,81,242,151,182,60,348,367,189,252,275,366,350
,36%,32%,37%,35%,37%,34%,36%,35%,33%,35%,38%,36%,36%
It boosts local businesses,868,93,294,200,210,72,410,458,244,320,305,434,434
,43%,36%,45%,46%,42%,40%,42%,44%,43%,44%,42%,42%,44%
None of these,502,64,156,106,121,54,263,239,102,183,217,243,259
,25%,25%,24%,25%,25%,30%,27%,23%,18%,25%,30%,24%,26%
