,Total,Region,,,,,Gender,,Age,,,Social Grade,
,,London,Rest of South,Midlands Wales,North,Scotland,Male,Female,18-34,35-54,55+,ABC1,C2DE
BASE: All Respondents,2008,255,648,431,495,179,973,1035,566,724,718,1025,983
BASE:  UNWEIGHTED,2008,283,607,440,508,170,941,1067,550,686,772,996,1012
I believe the Olympics will leave behind a legacy that the whole country will benefit from,924,130,290,217,217,69,443,481,300,326,298,460,464
,46%,51%,45%,50%,44%,39%,46%,46%,53%,45%,42%,45%,47%
"I believe the Olympics will leave behind a legacy but only London/Rio De Janeiro will benefit from it",1290,137,389,276,351,136,663,627,359,461,470,665,625
,64%,54%,60%,64%,71%,76%,68%,61%,64%,64%,65%,65%,64%
I believe the Olympics will introduce technologies which we will use in wider society,1023,129,349,209,254,82,489,534,305,351,367,484,539
,51%,51%,54%,48%,51%,46%,50%,52%,54%,48%,51%,47%,55%
The Olympics will cause my country serious environmental damage,736,111,224,159,174,67,346,390,275,234,228,373,363
,37%,44%,35%,37%,35%,38%,36%,38%,49%,32%,32%,36%,37%
